"MSSubClass","MSZoning","LotFrontage","LotArea","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","Fence","MiscFeature","MoSold","SaleType","SaleCondition","type","housse_age","garage_age","remod_since"
"20","RL",84.02,13500,"No.alley.access","Reg","Lvl","Inside","Gtl","ClearCr","Norm","1Fam","1Story","6","7","Flat","BrkFace","Plywood","None","None","TA","TA","CBlock","Gd","TA","Gd","BLQ",429,"ALQ","Yes",93,1602,"Gd","Y","SBrkr",1252,0,"No",1252,"1","0","1","0","1","1","TA","4","Typ","1","Gd","Attchd","RFn","2",564,"TA","TA","Y",409,"No","No","No","No","None","None","3","WD","Normal","train","5","6","2"
"30","RM",84,11340,"No.alley.access","Reg","Lvl","Corner","Gtl","OldTown","Norm","1Fam","1Story","6","5","Gable","Wd Sdng","Wd Sdng","None","None","TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf","No",1200,1200,"TA","Y","FuseA",1200,0,"No",1200,"0","0","1","0","4","1","TA","7","Typ","0","No.Fireplace","Detchd","Unf","1",312,"Fa","Fa","Y",0,"No","Yes","No","No","None","None","3","WD","Family","train",">80",">60",">60"
"50","RL",60,9600,"No.alley.access","Reg","Lvl","Corner","Gtl","Edwards","Artery","1Fam","1.5Fin","6","5","Gable","Wd Sdng","Wd Sdng","None","None","TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf","No",572,572,"Fa","N","FuseF",572,524,"No",1096,"0","0","1","0","2","1","TA","5","Typ","0","No.Fireplace","No.Garage","No.Garage","0",0,"No.Garage","No.Garage","N",0,"Yes","Yes","No","No","None","None","4","WD","Normal","train",">80","No_Garage",">60"
"20","RL",60,7200,"No.alley.access","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","5","7","Hip","Wd Sdng","Wd Sdng","None","None","TA","TA","CBlock","No.Basement","No.Basement","No.Basement","No.Basement",0,"No.Basement","No",0,0,"TA","Y","FuseF",1040,0,"No",1040,"0","0","1","0","2","1","TA","5","Typ","0","No.Fireplace","Detchd","Unf","2",625,"TA","TA","Y",0,"No","No","No","No","None","None","6","WD","Normal","train","5",">60",">60"
"60","RL",92,12003,"No.alley.access","Reg","Lvl","Corner","Gtl","Timber","Norm","1Fam","2Story","8","5","Gable","VinylSd","VinylSd","BrkFace","1","Gd","TA","PConc","Ex","TA","No","Unf",0,"Unf","No",774,774,"Ex","Y","SBrkr",774,1194,"No",1968,"0","0","2","1","4","1","Ex","8","Typ","1","Gd","BuiltIn","Fin","3",680,"TA","TA","Y",0,"Yes","No","No","No","None","None","5","New","Partial","train","1","1","1"
"60","FV",100,12552,"No.alley.access","Reg","Lvl","Corner","Gtl","Somerst","Norm","1Fam","2Story","7","5","Gable","VinylSd","VinylSd","None","None","Gd","TA","PConc","Gd","TA","No","GLQ",222,"Unf","No",769,991,"Ex","Y","SBrkr",991,956,"No",1947,"0","0","2","1","3","1","Gd","8","Typ","1","Gd","Attchd","RFn","2",678,"TA","TA","Y",0,"Yes","No","No","No","GdWo","None","5","WD","Normal","train","1","1","1"
"60","RL",134,19378,"No.alley.access","IR1","HLS","Corner","Gtl","Gilbert","Norm","1Fam","2Story","7","5","Gable","VinylSd","VinylSd","BrkFace","2","Gd","TA","PConc","Gd","TA","Mn","GLQ",57,"Unf","No",1335,1392,"Ex","Y","SBrkr",1392,1070,"No",2462,"1","0","2","1","4","1","Gd","9","Typ","1","Gd","Attchd","RFn","2",576,"TA","TA","Y",239,"Yes","No","Yes","No","None","None","3","New","Partial","train","1","1","1"
"20","RL",71.51,11120,"No.alley.access","IR1","Lvl","CulDSac","Gtl","Veenker","Norm","1Fam","1Story","6","6","Gable","Plywood","Plywood","None","None","TA","TA","PConc","Gd","TA","No","BLQ",660,"Unf","No",572,1232,"TA","Y","SBrkr",1232,0,"No",1232,"0","0","2","0","3","1","TA","6","Typ","0","No.Fireplace","Attchd","Unf","2",516,"TA","TA","Y",0,"No","No","No","No","None","None","6","WD","Normal","train","3","3","2"
"60","RL",110,13688,"No.alley.access","IR1","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","2Story","9","5","Gable","VinylSd","VinylSd","BrkFace",">500","Gd","TA","PConc","Ex","TA","Av","GLQ",1016,"Unf","No",556,1572,"Ex","Y","SBrkr",1572,1096,"No",2668,"1","0","2","1","3","1","Ex","10","Typ","2","Gd","BuiltIn","Fin","3",726,"TA","TA","Y",400,"No","No","No","No","None","None","3","WD","Normal","train","1","1","1"
"20","RL",95,12182,"No.alley.access","Reg","Lvl","Corner","Gtl","NridgHt","Norm","1Fam","1Story","7","5","Gable","VinylSd","VinylSd","BrkFace","1","Gd","TA","PConc","Gd","TA","Mn","BLQ",1201,"Unf","No",340,1541,"Ex","Y","SBrkr",1541,0,"No",1541,"0","0","2","0","3","1","Gd","7","Typ","1","Gd","Attchd","RFn","2",532,"TA","TA","Y",0,"Yes","No","No","No","None","None","5","New","Partial","train","1","1","1"
"45","RL",55,5500,"No.alley.access","Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam","1.5Unf","4","6","Gable","MetalSd","MetalSd","None","None","TA","TA","CBlock","TA","TA","No","Unf",0,"Unf","No",882,882,"Ex","Y","SBrkr",882,0,"No",882,"0","0","1","0","1","1","TA","4","Typ","0","No.Fireplace","No.Garage","No.Garage","0",0,"No.Garage","No.Garage","Y",0,"No","No","No","No","MnPrv","None","4","WD","Normal","train","5","No_Garage","3"
"40","RM",40,5400,"Pave","Reg","Lvl","Corner","Gtl","OldTown","Norm","1Fam","1Story","6","7","Gable","MetalSd","MetalSd","None","None","TA","Gd","BrkTil","TA","TA","Mn","LwQ",370,"Unf","No",779,1149,"Gd","Y","FuseA",1149,467,"No",1616,"0","0","2","0","3","1","Gd","5","Typ","0","No.Fireplace","Detchd","Unf","1",216,"TA","TA","Y",0,"No","Yes","No","No","None","None","10","WD","Normal","train",">80",">60","1"
"190","RL",62,10106,"No.alley.access","Reg","Lvl","Inside","Gtl","Edwards","Norm","2fmCon","1.5Fin","5","7","Gable","Wd Sdng","Wd Sdng","None","None","TA","Gd","BrkTil","TA","TA","No","ALQ",351,"Rec","Yes",112,644,"Gd","Y","SBrkr",808,547,"No",1355,"1","0","2","0","4","2","TA","6","Typ","0","No.Fireplace","No.Garage","No.Garage","0",0,"No.Garage","No.Garage","Y",140,"No","No","No","No","None","None","9","WD","Normal","train","6","No_Garage","1"
"20","RL",78.12,10708,"No.alley.access","IR1","Lvl","Inside","Gtl","ClearCr","Norm","1Fam","1Story","5","5","Hip","Wd Sdng","Wd Sdng","None","None","Gd","TA","CBlock","TA","TA","No","LwQ",379,"BLQ","Yes",470,1617,"Ex","Y","FuseA",1867,0,"No",1867,"1","0","1","0","2","1","TA","7","Typ","3","Gd","Attchd","Fin","1",303,"TA","TA","Y",476,"No","No","No","Yes","GdWo","None","11","COD","Normal","train","5","6","1"
"60","RL",86,10562,"No.alley.access","Reg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","2Story","8","5","Gable","VinylSd","VinylSd","Stone","2","Gd","TA","PConc","Ex","TA","No","GLQ",1288,"Unf","No",294,1582,"Ex","Y","SBrkr",1610,551,"No",2161,"1","0","1","1","3","1","Ex","8","Typ","1","Gd","Attchd","Fin","3",789,"TA","TA","Y",178,"Yes","No","No","No","None","None","11","New","Partial","train","1","1","1"
"60","RL",62,8244,"No.alley.access","IR1","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","2Story","7","5","Gable","VinylSd","VinylSd","None","None","Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf","No",840,840,"Ex","Y","SBrkr",840,880,"No",1720,"0","0","2","1","3","1","Gd","7","Typ","1","Gd","Attchd","Fin","2",440,"TA","TA","Y",100,"Yes","No","No","No","None","None","5","WD","Normal","train","1","1","1"
"20","RL",90.5,16669,"No.alley.access","IR1","Lvl","Corner","Gtl","Timber","Norm","1Fam","1Story","8","6","Hip","Plywood","Plywood","BrkFace",">500","Gd","TA","CBlock","Gd","TA","No","Unf",0,"Unf","No",1686,1686,"TA","Y","SBrkr",1707,0,"No",1707,"0","0","2","1","2","1","TA","6","Typ","1","TA","Attchd","RFn","2",511,"TA","TA","Y",574,"Yes","No","No","No","None","None","1","WD","Normal","train","3","3","2"
"50","RM",64.42,12358,"No.alley.access","IR1","Lvl","Inside","Gtl","OldTown","Feedr","1Fam","1.5Fin","5","6","Gable","MetalSd","MetalSd","None","None","TA","TA","CBlock","TA","TA","No","Rec",360,"Unf","No",360,720,"TA","Y","SBrkr",854,0,"Yes",1382,"0","0","1","1","2","1","TA","7","Typ","0","No.Fireplace","Detchd","Unf","2",660,"TA","TA","Y",237,"No","No","No","No","None","None","5","WD","Normal","train","6","2",">60"
"20","RL",141,31770,"No.alley.access","IR1","Lvl","Corner","Gtl","NAmes","Norm","1Fam","1Story","6","5","Hip","BrkFace","Plywood","Stone","1","TA","TA","CBlock","TA","Gd","Gd","BLQ",639,"Unf","No",441,1080,"Fa","Y","SBrkr",1656,0,"No",1656,"1","0","1","0","3","1","TA","7","Typ","2","Gd","Attchd","Fin","2",528,"TA","TA","P",210,"Yes","No","No","No","None","None","5","WD","Normal","train","5","6","3"
"160","RL",44,5306,"No.alley.access","IR1","Lvl","Inside","Gtl","StoneBr","Norm","TwnhsE","2Story","7","7","Gable","HdBoard","HdBoard","None","None","Gd","Gd","PConc","Gd","Gd","No","GLQ",495,"Rec","Yes",354,1064,"Gd","Y","SBrkr",1064,703,"No",1767,"1","0","2","0","2","1","Gd","5","Typ","1","TA","Attchd","RFn","2",504,"Gd","TA","Y",441,"Yes","No","No","No","None","None","6","WD","Normal","train","3","3","2"
"20","RL",80,10197,"No.alley.access","IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","6","5","Gable","WdShing","Wd Shng","BrkCmn","2","TA","TA","CBlock","TA","TA","No","ALQ",288,"Rec","Yes",700,1362,"TA","Y","SBrkr",1362,0,"No",1362,"1","0","1","1","3","1","TA","6","Typ","1","TA","Attchd","Unf","2",504,"TA","TA","Y",0,"Yes","No","No","No","None","None","6","COD","Normal","train","5","5","3"
"20","RL",47,12416,"No.alley.access","IR1","Lvl","Inside","Gtl","Timber","Norm","1Fam","1Story","6","5","Gable","VinylSd","Plywood","Stone","1","TA","TA","CBlock","Gd","Fa","No","ALQ",1398,"LwQ","Yes",0,1606,"TA","Y","SBrkr",1651,0,"No",1651,"1","0","2","0","3","1","TA","7","Min2","1","TA","Attchd","Fin","2",616,"TA","TA","Y",192,"No","No","No","No","None","None","11","WD","Normal","train","3","3","2"
"20","RL",84,12615,"No.alley.access","Reg","Lvl","Corner","Gtl","Edwards","Norm","1Fam","1Story","6","7","Gable","WdShing","Wd Shng","None","None","TA","TA","CBlock","TA","Gd","Av","ALQ",477,"Unf","No",725,1202,"TA","Y","SBrkr",2158,0,"No",2158,"1","0","2","0","4","1","Gd","7","Typ","1","Gd","Attchd","Unf","2",576,"TA","TA","Y",0,"Yes","Yes","No","No","MnPrv","None","6","WD","Normal","train","5",">60","1"
"60","RL",97,10029,"No.alley.access","IR1","Lvl","Corner","Gtl","ClearCr","Norm","1Fam","2Story","6","5","Gable","Plywood","Plywood","BrkFace","2","Gd","TA","PConc","Gd","TA","No","GLQ",831,"Unf","No",320,1151,"TA","Y","SBrkr",1164,896,"No",2060,"0","1","2","1","4","1","TA","8","Typ","1","TA","Attchd","Unf","2",521,"TA","TA","Y",0,"Yes","No","No","Yes","None","None","9","WD","Normal","train","3","3","2"
"50","RL",82.26,13650,"No.alley.access","Reg","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1.5Fin","5","5","Gable","MetalSd","MetalSd","None","None","Gd","Gd","CBlock","TA","TA","No","ALQ",57,"BLQ","Yes",554,1052,"Ex","Y","SBrkr",1252,668,"No",1920,"1","0","2","0","4","1","Gd","8","Typ","1","Gd","Attchd","Unf","2",451,"TA","TA","Y",0,"No","No","No","No","None","None","7","WD","Normal","train","5","6","3"
"20","RL",63,17423,"No.alley.access","IR1","Lvl","CulDSac","Gtl","StoneBr","Norm","1Fam","1Story","9","5","Hip","VinylSd","VinylSd","Stone",">500","Ex","TA","PConc","Ex","TA","No","GLQ",1904,"Unf","No",312,2216,"Ex","Y","SBrkr",2234,0,"No",2234,"1","0","2","0","1","1","Ex","9","Typ","1","Gd","Attchd","Fin","3",1166,"TA","TA","Y",0,"Yes","No","No","No","None","None","7","New","Partial","train","1","1","1"
"30","RM",60,8520,"No.alley.access","Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam","1Story","5","6","Gable","Wd Sdng","Wd Sdng","None","None","Gd","TA","CBlock","TA","TA","No","Unf",0,"Unf","No",968,968,"TA","Y","SBrkr",968,0,"No",968,"0","0","1","0","2","1","TA","5","Typ","0","No.Fireplace","Detchd","Unf","2",480,"Fa","TA","N",0,"No","Yes","No","No","None","None","7","WD","Normal","train",">80",">60","1"
"160","FV",26.56,2117,"No.alley.access","Reg","Lvl","Inside","Gtl","Somerst","Norm","Twnhs","2Story","6","5","Gable","MetalSd","MetalSd","BrkFace","2","Gd","TA","PConc","Gd","TA","No","GLQ",436,"Unf","No",320,756,"Ex","Y","SBrkr",769,756,"No",1525,"0","0","2","1","3","1","Gd","5","Typ","1","TA","Detchd","Unf","2",440,"TA","TA","Y",0,"No","No","No","No","None","None","6","WD","Normal","train","2","2","1"
"70","RL",54,7588,"No.alley.access","Reg","Lvl","Inside","Gtl","Crawfor","Norm","1Fam","2Story","7","6","Gable","Stucco","Stucco","None","None","TA","TA","BrkTil","Fa","TA","No","LwQ",352,"Unf","No",441,793,"Gd","Y","SBrkr",901,901,"No",1802,"0","0","1","1","4","1","TA","9","Typ","1","Gd","Detchd","Unf","1",216,"Fa","TA","Y",0,"No","Yes","No","No","None","None","7","WD","Normal","train",">80",">60",">60"
"20","RL",60,9060,"No.alley.access","Reg","Lvl","Inside","Gtl","Edwards","Artery","1Fam","1Story","5","6","Hip","Wd Sdng","Wd Sdng","BrkFace","1","TA","TA","PConc","No.Basement","No.Basement","No.Basement","No.Basement",0,"No.Basement","No",0,0,"Ex","Y","SBrkr",1340,0,"No",1340,"0","0","1","0","3","1","TA","7","Typ","1","Gd","Attchd","RFn","1",252,"TA","TA","Y",116,"No","No","Yes","No","MnPrv","None","6","WD","Normal","train","5","6","1"
"50","RM",63,11426,"No.alley.access","Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam","1.5Fin","7","5","Gable","VinylSd","VinylSd","None","None","TA","TA","PConc","Gd","TA","No","Unf",0,"Unf","No",1362,1362,"Ex","Y","SBrkr",1362,720,"No",2082,"0","0","2","1","3","1","Gd","6","Mod","0","No.Fireplace","Detchd","Unf","2",484,"TA","TA","N",280,"Yes","No","No","No","None","None","6","WD","Normal","train","1","1","1"
"50","RL",92,7438,"No.alley.access","IR1","Lvl","Inside","Gtl","BrkSide","RRAn","1Fam","1.5Fin","5","8","Gable","AsbShng","Plywood","None","None","TA","TA","PConc","Fa","TA","No","Unf",0,"Unf","No",504,504,"Gd","Y","SBrkr",936,316,"No",1252,"0","0","1","0","3","1","TA","5","Typ","0","No.Fireplace","Attchd","Unf","2",576,"TA","TA","Y",104,"No","No","No","No","MnPrv","None","6","WD","Normal","train",">80","3","1"
"75","RM",90,22950,"No.alley.access","IR2","Lvl","Inside","Gtl","OldTown","Artery","1Fam","2.5Fin","10","9","Gable","Wd Sdng","Wd Sdng","None","None","Gd","Gd","BrkTil","TA","TA","Mn","Unf",0,"Unf","No",1107,1107,"Ex","Y","SBrkr",1518,1518,"Yes",3608,"0","0","2","1","4","1","Ex","12","Typ","2","TA","Detchd","Unf","3",840,"Ex","TA","Y",0,"Yes","No","No","Yes","GdPrv","None","6","WD","Normal","train",">80","2","1"
"80","RL",69.28,9947,"No.alley.access","IR1","Lvl","CulDSac","Gtl","Mitchel","Norm","1Fam","SLvl","7","5","Gable","HdBoard","HdBoard","None","None","TA","TA","PConc","Gd","TA","Av","GLQ",611,"Unf","No",577,1188,"Ex","Y","SBrkr",1217,0,"No",1217,"1","0","2","0","3","1","Gd","6","Typ","0","No.Fireplace","Attchd","Unf","2",497,"TA","TA","Y",168,"Yes","No","No","No","GdPrv","None","6","WD","Normal","train","3","3","1"
"50","RL",60,10410,"No.alley.access","Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam","1.5Fin","5","7","Gable","HdBoard","HdBoard","None","None","TA","TA","CBlock","Fa","TA","No","Unf",0,"Unf","No",660,660,"Ex","Y","SBrkr",808,704,"Yes",1656,"0","0","2","1","3","1","TA","8","Min2","0","No.Fireplace","Detchd","Unf","1",180,"Fa","Fa","N",0,"No","No","Yes","No","MnPrv","None","8","WD","Normal","train",">80",">60","2"
"90","RL",64,7018,"No.alley.access","Reg","Bnk","Inside","Gtl","SawyerW","Feedr","Duplex","SFoyer","5","5","Gable","Plywood","Plywood","Stone","2","TA","TA","CBlock","Gd","TA","Av","GLQ",1086,"Unf","No",0,1086,"TA","Y","SBrkr",1224,0,"No",1224,"2","0","0","2","2","2","TA","6","Typ","2","TA","Detchd","Unf","2",528,"TA","TA","Y",120,"No","No","No","No","None","None","6","WD","Alloca","train","4","4","2"
"120","RL",41,4923,"No.alley.access","Reg","Lvl","Inside","Gtl","StoneBr","Norm","TwnhsE","1Story","8","5","Gable","CemntBd","CmentBd","None","None","Gd","TA","PConc","Ex","TA","Av","GLQ",1153,"Unf","No",440,1593,"Ex","Y","SBrkr",1593,0,"No",1593,"1","0","1","1","0","1","Ex","5","Typ","1","Gd","Attchd","Fin","2",682,"TA","TA","Y",0,"Yes","No","No","Yes","None","None","8","WD","Normal","train","1","1","1"
"70","RL",70,10570,"No.alley.access","Reg","Bnk","Inside","Mod","Crawfor","Norm","1Fam","2Story","8","8","Hip","BrkFace","BrkFace","None","None","Gd","TA","CBlock","Gd","Gd","No","Rec",297,"Unf","No",556,853,"TA","Y","SBrkr",1549,1178,"No",2727,"0","0","2","1","3","1","Gd","10","Maj1","2","TA","Detchd","Unf","2",440,"TA","TA","Y",0,"Yes","No","No","No","None","None","12","WD","Normal","train","6",">60","1"
"60","RL",67.12,7472,"No.alley.access","IR1","Lvl","CulDSac","Gtl","NAmes","Norm","1Fam","2Story","7","9","Gable","HdBoard","HdBoard","BrkFace","1","TA","TA","CBlock","TA","TA","No","ALQ",626,"Unf","No",99,725,"Gd","Y","SBrkr",725,754,"No",1479,"1","0","1","1","4","1","Gd","7","Typ","0","No.Fireplace","Attchd","Fin","2",484,"TA","TA","Y",0,"Yes","No","No","No","None","None","6","WD","Normal","train","4","4","1"
"20","RL",68,9017,"No.alley.access","IR1","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story","7","5","Gable","VinylSd","VinylSd","None","None","Gd","TA","PConc","Gd","TA","Av","GLQ",560,"Unf","No",871,1431,"Ex","Y","SBrkr",1431,0,"No",1431,"1","0","2","0","3","1","Gd","6","Typ","0","No.Fireplace","Attchd","Fin","2",666,"TA","TA","Y",0,"Yes","No","No","No","None","None","9","WD","Normal","train","2","2","1"
"160","RM",24,2522,"No.alley.access","Reg","Lvl","Inside","Gtl","Edwards","Norm","Twnhs","2Story","7","5","Gable","VinylSd","VinylSd","Stone","1","Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf","No",970,970,"Ex","Y","SBrkr",970,739,"No",1709,"0","0","2","0","3","1","Gd","7","Maj1","0","No.Fireplace","Detchd","Unf","2",380,"TA","TA","Y",0,"Yes","No","No","No","None","None","5","WD","Normal","train","1","1","1"
"20","RL",60,7180,"No.alley.access","IR1","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story","5","7","Hip","HdBoard","HdBoard","None","None","TA","TA","CBlock","TA","TA","Av","ALQ",390,"Unf","No",474,864,"TA","Y","SBrkr",864,0,"No",864,"0","0","1","0","3","1","TA","5","Typ","0","No.Fireplace","Detchd","Unf","1",352,"TA","TA","Y",0,"No","No","No","No","None","None","5","WD","Normal","train","4","3","2"
"160","RL",24,2280,"No.alley.access","Reg","Lvl","FR2","Gtl","NPkVill","Norm","Twnhs","2Story","6","6","Gable","Plywood","Brk Cmn","None","None","TA","TA","CBlock","Gd","TA","No","ALQ",566,"Unf","No",289,855,"TA","Y","SBrkr",855,601,"No",1456,"0","0","2","1","3","1","TA","7","Typ","1","TA","Attchd","Unf","2",440,"TA","TA","Y",87,"No","No","No","No","None","None","7","WD","Normal","train","4","4","2"
"20","RL",79,9416,"No.alley.access","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story","7","5","Hip","CemntBd","CmentBd","Stone","1","Ex","TA","PConc","Ex","TA","No","GLQ",1126,"Unf","No",600,1726,"Ex","Y","SBrkr",1726,0,"No",1726,"1","0","2","0","3","1","Ex","8","Typ","1","Gd","Attchd","Fin","3",786,"TA","TA","Y",171,"Yes","No","No","Yes","None","None","9","New","Partial","train","1","1","1"
"75","RL",174,25419,"No.alley.access","Reg","Lvl","Corner","Gtl","NAmes","Artery","1Fam","2Story","8","4","Gable","Stucco","Stucco","None","None","Gd","Gd","PConc","TA","TA","No","GLQ",1036,"LwQ","Yes",140,1360,"Gd","Y","SBrkr",1360,1360,"Yes",3112,"1","1","2","0","4","1","Gd","8","Typ","1","Ex","Detchd","Unf","2",795,"TA","TA","Y",0,"Yes","Yes","No","No","GdPrv","None","3","WD","Abnorml","train",">80",">60","2"
"75","RM",92,5520,"No.alley.access","Reg","Lvl","Corner","Gtl","OldTown","Norm","1Fam","2.5Fin","6","6","Gable","Wd Sdng","Wd Sdng","None","None","TA","TA","CBlock","TA","TA","No","Unf",0,"Unf","No",755,755,"Ex","Y","SBrkr",929,929,"Yes",2229,"0","0","1","0","5","1","TA","8","Typ","0","No.Fireplace","No.Garage","No.Garage","0",0,"No.Garage","No.Garage","Y",0,"Yes","Yes","No","No","MnPrv","None","7","WD","Abnorml","train",">80","No_Garage",">60"
"20","RL",76,9591,"No.alley.access","Reg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","1Story","8","5","Hip","VinylSd","VinylSd","BrkFace","2","Gd","TA","PConc","Ex","TA","Av","GLQ",1088,"Unf","No",625,1713,"Ex","Y","SBrkr",1713,0,"No",1713,"1","0","2","0","3","1","Ex","7","Typ","1","Gd","Attchd","Fin","3",856,"TA","TA","Y",0,"Yes","No","No","Yes","None","None","1","WD","Normal","train","1","1","1"
"20","RM",80,8546,"No.alley.access","Reg","Lvl","Corner","Gtl","Edwards","Norm","1Fam","1Story","4","5","Gable","VinylSd","VinylSd","None","None","TA","TA","PConc","Gd","TA","No","Unf",0,"Unf","No",1121,1121,"Ex","Y","SBrkr",1121,0,"No",1121,"0","0","2","0","2","1","TA","5","Typ","0","No.Fireplace","Attchd","RFn","2",440,"TA","TA","Y",132,"Yes","No","No","No","None","None","3","WD","Normal","train","1","1","1"
"20","RL",75,10125,"No.alley.access","Reg","Lvl","Inside","Gtl","Mitchel","Norm","1Fam","1Story","6","6","Gable","Plywood","Plywood","None","None","TA","TA","CBlock","TA","TA","No","ALQ",641,"LwQ","Yes",276,1196,"TA","Y","SBrkr",1279,0,"No",1279,"0","1","2","0","3","1","TA","6","Typ","2","Fa","Detchd","Unf","2",473,"TA","TA","Y",238,"Yes","No","No","No","MnPrv","None","2","WD","Normal","train","4","4","2"
"50","RL",50,7000,"No.alley.access","Reg","Lvl","Corner","Gtl","OldTown","Artery","1Fam","1.5Fin","6","6","Gable","MetalSd","MetalSd","None","None","TA","Gd","BrkTil","Fa","TA","No","LwQ",617,"Unf","No",0,617,"Gd","Y","SBrkr",865,445,"No",1310,"0","0","2","0","2","1","TA","6","Min1","0","No.Fireplace","Attchd","Unf","1",398,"TA","TA","Y",0,"No","Yes","No","No","None","None","5","COD","Normal","train",">80",">60",">60"
"120","RM",38.205,4438,"No.alley.access","Reg","Lvl","Inside","Gtl","CollgCr","Norm","TwnhsE","1Story","6","5","Gable","VinylSd","VinylSd","BrkFace","1","Gd","TA","PConc","Gd","TA","Av","GLQ",662,"Unf","No",186,848,"Ex","Y","SBrkr",848,0,"No",848,"1","0","1","0","1","1","Gd","3","Typ","1","Gd","Attchd","RFn","2",420,"TA","TA","Y",149,"No","No","No","No","None","None","1","WD","Normal","train","1","1","1"
"50","RM",50,3500,"Grvl","Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam","1.5Fin","5","7","Gable","AsbShng","AsbShng","None","None","TA","TA","CBlock","TA","TA","No","LwQ",312,"Unf","No",408,720,"TA","Y","SBrkr",720,564,"No",1284,"0","0","1","1","2","1","TA","5","Typ","0","No.Fireplace","Detchd","Unf","1",240,"TA","TA","Y",0,"Yes","No","No","No","MnWw","None","4","WD","Normal","train","5",">60",">60"
"20","RL",99,11851,"No.alley.access","Reg","Lvl","Corner","Gtl","Gilbert","Norm","1Fam","1Story","7","5","Gable","HdBoard","HdBoard","None","None","TA","TA","PConc","Gd","TA","No","Unf",0,"Unf","No",1424,1424,"Ex","Y","SBrkr",1442,0,"No",1442,"0","0","2","0","3","1","TA","5","Typ","0","No.Fireplace","Attchd","RFn","2",500,"TA","TA","Y",0,"Yes","No","Yes","No","None","None","5","WD","Normal","train","3","3","2"
"20","RL",40,13673,"No.alley.access","IR1","Lvl","CulDSac","Gtl","Sawyer","RRAe","1Fam","1Story","5","5","Gable","HdBoard","HdBoard","None","None","TA","Gd","CBlock","TA","TA","No","Unf",0,"Unf","No",1140,1140,"TA","Y","SBrkr",1696,0,"No",1696,"0","0","1","1","3","1","TA","8","Min2","1","TA","Attchd","RFn","1",349,"TA","TA","Y",0,"Yes","No","No","No","None","None","3","WD","Normal","train","5","5","3"
"20","RL",74.1,12493,"No.alley.access","IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","4","5","Gable","Wd Sdng","Wd Sdng","None","None","TA","TA","PConc","TA","TA","No","ALQ",419,"Rec","Yes",375,1100,"TA","Y","SBrkr",1100,0,"No",1100,"1","0","1","0","3","1","TA","6","Typ","1","Po","Attchd","RFn","1",312,"TA","TA","Y",355,"No","No","No","No","GdWo","None","4","WD","Normal","train","5","6","3"
"60","RL",79.1,14364,"No.alley.access","IR1","Low","Inside","Mod","SawyerW","Norm","1Fam","2Story","7","5","Gable","Plywood","Plywood","BrkFace","1","Gd","TA","CBlock","Gd","TA","Gd","GLQ",1065,"Unf","No",92,1157,"Ex","Y","SBrkr",1180,882,"No",2062,"1","0","2","1","3","1","TA","7","Typ","1","Gd","Attchd","Fin","2",454,"TA","TA","Y",60,"Yes","No","No","Yes","None","None","4","WD","Normal","train","3","3","2"
"20","RL",75,8250,"No.alley.access","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","6","7","Hip","HdBoard","HdBoard","Stone","2","TA","TA","CBlock","Gd","TA","No","Rec",787,"Unf","No",305,1092,"Ex","Y","SBrkr",1092,0,"No",1092,"1","0","1","0","3","1","TA","6","Typ","0","No.Fireplace","Attchd","RFn","2",504,"TA","Gd","Y",0,"No","No","No","No","MnPrv","None","7","WD","Normal","train","5","5","3"
